y,lag1,lag2,lag3,lag4,lag5,volprev,date
0,-0.0257,-0.0559,0.0512,-0.028,-0.0677,158515.788970901,2017-11-26 00:00:00
0,-0.0572,-0.0257,-0.0559,0.0512,-0.028,156998.977561084,2017-11-25 00:00:00
0,-0.0643,-0.0572,-0.0257,-0.0559,0.0512,104836.824291416,2017-11-24 00:00:00
1,-0.0346,-0.0643,-0.0572,-0.0257,-0.0559,103881.10716075,2017-11-23 00:00:00
1,0.001,-0.0346,-0.0643,-0.0572,-0.0257,82274.154959333,2017-11-22 00:00:00
0,0.0026,0.001,-0.0346,-0.0643,-0.0572,80345.6645669232,2017-11-21 00:00:00
0,-0.0038,0.0026,0.001,-0.0346,-0.0643,170237.572987538,2017-11-20 00:00:00
0,-0.0089,-0.0038,0.0026,0.001,-0.0346,101046.025966316,2017-11-19 00:00:00
0,-0.0346,-0.0089,-0.0038,0.0026,0.001,92073.1282010011,2017-11-18 00:00:00
1,-0.0166,-0.0346,-0.0089,-0.0038,0.0026,91227.8693459914,2017-11-17 00:00:00
0,0.0174,-0.0166,-0.0346,-0.0089,-0.0038,174525.85556324,2017-11-16 00:00:00
0,-0.0472,0.0174,-0.0166,-0.0346,-0.0089,200467.197996405,2017-11-15 00:00:00
0,-0.0568,-0.0472,0.0174,-0.0166,-0.0346,180508.455296473,2017-11-14 00:00:00
0,-0.0649,-0.0568,-0.0472,0.0174,-0.0166,121413.215059502,2017-11-13 00:00:00
0,-0.0382,-0.0649,-0.0568,-0.0472,0.0174,260239.697250248,2017-11-12 00:00:00
1,-0.0388,-0.0382,-0.0649,-0.0568,-0.0472,389409.162420791,2017-11-11 00:00:00
1,0.074,-0.0388,-0.0382,-0.0649,-0.0568,178260.444088389,2017-11-10 00:00:00
1,0.0635,0.074,-0.0388,-0.0382,-0.0649,249647.519632368,2017-11-09 00:00:00
1,0.0431,0.0635,0.074,-0.0388,-0.0382,128869.495866889,2017-11-08 00:00:00
0,0.0183,0.0431,0.0635,0.074,-0.0388,152665.800380146,2017-11-07 00:00:00
1,-0.0338,0.0183,0.0431,0.0635,0.074,64218.8087330088,2017-11-06 00:00:00
1,0.0176,-0.0338,0.0183,0.0431,0.0635,107977.301215547,2017-11-05 00:00:00
0,0.0289,0.0176,-0.0338,0.0183,0.0431,60019.2875074593,2017-11-04 00:00:00
0,-0.0271,0.0289,0.0176,-0.0338,0.0183,107161.554344271,2017-11-03 00:00:00
0,-0.0031,-0.0271,0.0289,0.0176,-0.0338,165812.716482315,2017-11-02 00:00:00
0,-0.0378,-0.0031,-0.0271,0.0289,0.0176,257129.864057813,2017-11-01 00:00:00
0,-0.0641,-0.0378,-0.0031,-0.0271,0.0289,141941.809864871,2017-10-31 00:00:00
0,-0.0429,-0.0641,-0.0378,-0.0031,-0.0271,109319.67987814,2017-10-30 00:00:00
0,-0.0198,-0.0429,-0.0641,-0.0378,-0.0031,84506.4300175255,2017-10-29 00:00:00
0,-0.04,-0.0198,-0.0429,-0.0641,-0.0378,135736.647223509,2017-10-28 00:00:00
1,-0.0207,-0.04,-0.0198,-0.0429,-0.0641,64635.9471024208,2017-10-27 00:00:00
1,0.0124,-0.0207,-0.04,-0.0198,-0.0429,93964.4532566702,2017-10-26 00:00:00
0,0.0001,0.0124,-0.0207,-0.04,-0.0198,107297.315939647,2017-10-25 00:00:00
1,-0.0468,0.0001,0.0124,-0.0207,-0.04,121199.745957289,2017-10-24 00:00:00
1,0.0198,-0.0468,0.0001,0.0124,-0.0207,160907.123624069,2017-10-23 00:00:00
1,0.0381,0.0198,-0.0468,0.0001,0.0124,152349.742944554,2017-10-22 00:00:00
1,0.006,0.0381,0.0198,-0.0468,0.0001,109277.924577869,2017-10-21 00:00:00
0,0.0264,0.006,0.0381,0.0198,-0.0468,127215.1845939,2017-10-20 00:00:00
0,-0.0474,0.0264,0.006,0.0381,0.0198,148823.753871705,2017-10-19 00:00:00
0,-0.023,-0.0474,0.0264,0.006,0.0381,92024.4165143361,2017-10-18 00:00:00
1,-0.0431,-0.023,-0.0474,0.0264,0.006,173137.6407008,2017-10-17 00:00:00
1,0.04,-0.0431,-0.023,-0.0474,0.0264,85499.4447316922,2017-10-16 00:00:00
0,0.0087,0.04,-0.0431,-0.023,-0.0474,84825.1930023074,2017-10-15 00:00:00
1,-0.0086,0.0087,0.04,-0.0431,-0.023,129163.13944393,2017-10-14 00:00:00
0,0.0085,-0.0086,0.0087,0.04,-0.0431,83874.5521547801,2017-10-13 00:00:00
0,-0.0084,0.0085,-0.0086,0.0087,0.04,240389.216807569,2017-10-12 00:00:00
